,Dzień Znalezienia,Numer Pociągu,Relacja Pociągu,Stacja Znalezienia,Rodzaj Rzeczy
6147,2024-08-24,5422,Olsztyn Gł. - Racibórz,Częstochowa,Sprzęt Sportowy
6148,2024-08-24,4502,Gliwice - Gdynia Gł.,Gdynia Główna,Sprzęt Elektroniczny
6149,2024-08-24,3150,Zakopane - Warszawa Wsch.,Warszawa Wschodnia,Ubranie
6150,2024-08-24,,,Sławno,Portfel
6151,2024-08-24,1304,Warszawa Wschodnia - Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
6152,2024-08-24,8300,Kołobrzeg - Kraków Główny,Kraków Główny,Ubranie
6153,2024-08-24,3512,Kraków Gł. - Gdynia Gł.,Gniezno,Dokument/Y
6154,2024-08-24,63102,Jelenia Góra - Kraków Główny,Kraków Główny,Ubranie
6155,2024-08-24,48102,Bielsko-Biała Gł. - Ustka,Sławno,Rzeczy Osobiste
6156,2024-08-24,48102,Bielsko-Biała Gł. - Ustka,Sławno,Walizka / Plecak
6157,2024-08-23,407,Warszawa - Monachium,Warszawa Olszynka Grochowska,Sprzęt Elektroniczny
6158,2024-08-24,5300,Gdynia Główna - Kraków Główny,Kraków Główny,Ubranie
6159,2024-08-24,3508,Rzeszów Główny - Gdynia Gł.,Gdynia Główna,Ubranie
6160,2024-08-24,1304,Warszawa Wsch. - Kraków Gł.,Kraków Główny,Ubranie
6161,2024-08-24,17100,Warszawa Wsch. - Zielona Góra Gł.,Zielona Góra Główna,Ubranie
6162,2024-08-24,1114,Łódź Fabryczna - Terespol,Terespol,Reklamówka / Torba
6163,2024-08-24,35170,Zakopane - Gdynia Gł.,Prabuty,Saszetka / Nerka
6164,2024-08-24,4500,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Ubranie
6165,2024-08-23,55,Berlin Hbf - Kraków Gł.,Katowice,Portfel
6166,2024-08-23,5700,Gdynia Gł. - Poznań Gł.,Poznań Główny,Walizka / Plecak
6167,2024-08-23,3800,Kraków Gł. - Kołobrzeg,Kołobrzeg,Reklamówka / Torba
6168,2024-08-23,57,Berlin Hbf - Przemyśl Gł.,Przemyśl Główny,Reklamówka / Torba
6169,2024-08-23,3840,Kraków Gł. - Kołobrzeg,Kołobrzeg,Ubranie
6170,2024-08-23,59,Berlin Hbf - Gdynia Gł.,Zbąszynek,Rzeczy Osobiste
6171,2024-08-23,48150,Katowice - Ustka,Ustka,Reklamówka / Torba
6172,2024-08-23,58,Gdynia Gł. - Berlin Hbf,Rzepin,Reklamówka / Torba
6173,2024-08-23,1532,Łódź Fabryczna - Gdynia Gł.,Gdynia Główna,Dokument/Y
6174,2024-08-23,5600,Gdynia Gł. - Jelenia Góra,Poznań Główny,Telefon
6175,2024-08-23,83172,Świnoujście - Przemyśl Gł.,Przemyśl Główny,Ubranie
6176,2024-08-23,4500,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Obuwie
6177,2024-08-22,11106,W-Wa Wsch.-Terespol,Siedlce,Dokument/Y
6178,2024-08-22,17104,Warszawa Wsch. - Poznań Gł.,Poznań Główny,Książka
6179,2024-08-22,17104,Warszawa Wsch. - Poznań Gł.,Poznań Główny,Ubranie
6180,2024-08-22,8306,Kołobrzeg - Kraków Gł.,Kraków Główny,Ubranie
6181,2024-08-22,3800,Kraków Gł. - Kołobrzeg,Koszalin,Walizka / Plecak
6182,2024-08-22,19130,Warszawa Wsch. - Łódź Fabryczna,Łódź Fabryczna,Reklamówka / Torba
6183,2024-08-22,106,Graz Hbf - Przemyśl Gł.,Przemyśl Główny,Artykuły Medyczne
6184,2024-08-22,5304,Gdynia Głowna -Kraków Głowny,Kraków Główny,Rzeczy Osobiste
6185,2024-08-22,8300,Kołobrzeg -Kraków Główny,Kraków Główny,Ubranie
6186,2024-08-22,5312,Gdynia Gł. - Kraków Gł.,Kraków Główny,Ubranie
6187,2024-08-22,18114,Łódź Fabryczna - Kołobrzeg,Lębork,Ubranie
6188,2024-08-22,65102,Wrocław Gł. - Olsztyn Gł.,Olsztyn Główny,Telefon
6189,2024-08-22,3508,Rzeszów Główny - Gdynia Gł.,Gdynia Główna,Rzeczy Osobiste
6190,2024-08-22,17100,Warszawa Wsch. - Zielona Góra Gł.,Zielona Góra Główna,Rzeczy Osobiste
6191,2024-08-22,7500,Poznań Gł. - Gdynia Gł.,Gdynia Główna,Sprzęt Elektroniczny
6192,2024-08-22,53170,Gdynia Gł. - Zakopane,Zakopane,Kosztowności
6193,2024-08-21,35105,Zakopane - Gdynia Gł.,Tczew,Telefon
6194,2024-08-21,17104,Warszawa Wsch. - Poznań Gł.,Słupca,Reklamówka / Torba
6195,2024-08-21,59,Berlin Hbf - Gdynia Gł.,Gdynia Główna,Sprzęt Elektroniczny
6196,2024-08-21,75104,Zielona Góra Gł. - Gdynia Gł.,Gdynia Główna,Ubranie
6197,2024-08-20,3512,Kraków Gł. - Gdynia Gł.,Poznań Główny,Rzeczy Osobiste
6198,2024-08-20,1512,Warszawa Zach. - Gdynia Gł.,Gdynia Główna,Artykuły Muzyczne
6199,2024-08-20,5308,Gdynia Gł. - Rzeszów Główny,Miechów,Walizka / Plecak
6200,2024-08-20,18114,Łódź Fabryczna - Kołobrzeg,Koszalin,Ubranie
6201,2024-08-20,108,Wien Hbf - Gdynia Gł.,Tczew,Telefon
6202,2024-08-20,3820,Kraków Gł. - Szczecin Gł.,Katowice,Sprzęt Elektroniczny
6203,2024-08-20,57100,Olsztyn Gł. - Zielona Góra Gł.,Zielona Góra Główna,Reklamówka / Torba
6204,2024-08-20,3508,Rzeszów Główny - Gdynia Gł.,Gdynia Główna,Sprzęt Elektroniczny
6205,2024-08-20,8320,Szczecin Gł. - Kraków Gł.,Chorzów Batory,Ubranie
6206,2024-08-20,1540,Warszawa Zach. - Hel,Hel,Ubranie
6207,2024-08-20,47100,Katowice - Poznań Gł.,Poznań Główny,Rzeczy Osobiste
6208,2024-08-20,35171,Zakopane - Gdynia Gł.,Sopot,Ubranie
6209,2024-08-20,81170,Świnoujście - Warszawa Wsch.,Warszawa Wschodnia,Walizka / Plecak
6210,2024-08-19,35105,Zakopane - Gdynia Gł.,Gdynia Główna,Sprzęt Sportowy
6211,2024-08-19,27100,Lublin Gł. - Zielona Góra Gł.,Zielona Góra Główna,Reklamówka / Torba
6212,2024-08-19,3502,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Ubranie
6213,2024-08-19,5424,Olsztyn Gł. - Bielsko-Biała Gł.,Bielsko-Biała Główna,Sprzęt Elektroniczny
6214,2024-08-19,5304,Gdynia Gł. - Kraków Gł.,Kraków Główny,Artykuły Dziecięce
6215,2024-08-15,1306,Warszawa-Kraków,Kraków Główny,Ubranie
6216,2024-08-19,57108,Gdynia Gł. - Zielona Góra Gł.,Zielona Góra Główna,Artykuły Muzyczne
6217,2024-08-19,4500,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Artykuły Spożywcze
6218,2024-08-18,5700,Gdynia Gł. - Poznań Gł.,Gniezno,Ubranie
6219,2024-08-18,11105,Warszawa Centr. - Terespol,Mińsk Mazowiecki,Sprzęt Elektroniczny
6220,2024-08-18,84150,Ustka - Katowice,Koszalin,Walizka / Plecak
6221,2024-08-18,3506,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Walizka / Plecak
6222,2024-08-17,1320,Warszawa Wschodnia -Zakopane,Zakopane,Sprzęt Elektroniczny
6223,2024-08-18,1850,Warszawa Zach. - Kołobrzeg,Ustronie Morskie,Walizka / Plecak
6224,2024-08-18,18100,Warszawa Wsch. - Świnoujście,Międzyzdroje,Sprzęt Elektroniczny
6225,2024-08-18,15130,Łódź Fabryczna - Gdynia Gł.,Sopot,Portfel
6226,2024-08-18,15150,Warszawa Zach. - Łeba,Gdańsk Główny,Rzeczy Osobiste
6227,2024-08-18,8300,Kołobrzeg - Kraków Gł.,Kołobrzeg,Książka
6228,2024-08-17,3500,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Etui
6229,2024-08-17,5320,Olsztyn Gł. - Kraków Gł.,Kraków Główny,Artykuły Dziecięce
6230,2024-08-17,17102,Warszawa Wsch. - Zielona Góra Gł.,Poznań Główny,Artykuły Muzyczne
6231,2024-08-17,57102,Olsztyn Gł. - Poznań Gł.,Iława Główna,Rzeczy Osobiste
6232,2024-08-17,33110,Zagórz - Kraków,Kraków Główny,Dokument/Y
6233,2024-08-16,8340,Kołobrzeg-Kraków,Kraków Główny,Ubranie
6234,2024-08-16,5304,Gdynia-Kraków,Kraków Główny,Obuwie
6235,2024-08-15,5322,Olsztyn-Kraków,Kraków Główny,Ubranie
6236,2024-08-16,63102,Jelenia Góra-Kraków,Kraków Główny,Ubranie
6237,2024-08-15,63102,Jelenia Góra-Kraków,Kraków Główny,Etui
6238,2024-08-15,13000,Mockava-Kraków,Kraków Główny,Sprzęt Elektroniczny
6239,2024-08-17,5600,Gdynia Gł. - Jelenia Góra,Rawicz,Rzeczy Osobiste
6240,2024-08-15,8300,Kołobrzeg-Kraków,Kraków Główny,Rzeczy Osobiste
6241,2024-08-15,8300,Kołobrzeg-Kraków,Kraków Główny,Sprzęt Elektroniczny
6242,2024-08-17,17100,Warszawa Wsch. - Zielona Góra Gł.,Zielona Góra Główna,Artykuły Spożywcze
6243,2024-08-16,COK KRAKÓW,,Kraków Główny,Artykuły Dziecięce
6244,2024-08-17,1532,Łódź Fabryczna - Gdynia Gł.,Aleksandrów Kujawski,Sprzęt Turystyczny
6245,2024-08-16,5360,Gdynia Gł. - Zakopane,Zakopane,Ubranie
6246,2024-08-16,402,Łeba - Bohumin,Łeba,Rzeczy Osobiste
6247,2024-08-16,5304,Gdynia Główna-Kraków Główny,Kraków Główny,Sprzęt Sportowy
6248,2024-08-16,5304,Gdynia Główna -Kraków Główny,Kraków Główny,Ubranie
6249,2024-08-15,47100,Katwoice-Poznań,Poznań Główny,Artykuły Biurowe
6250,2024-08-15,83106,Piła Główna -Kraków Główny,Kraków Główny,Saszetka / Nerka
6251,2024-08-16,15150,Warszawa Zach. - Łeba,Wejherowo,Portfel
6252,2024-08-16,57100,Olsztyn Gł. - Zielona Góra Gł.,Zielona Góra Główna,Ubranie
6253,2024-08-16,48150,Katowice - Ustka,Ustka,Sprzęt Elektroniczny
6254,2024-08-16,78172,Poznań Gł. - Ustka,Ustka,Sprzęt Sportowy
6255,2024-08-16,50191,Gdynia Gł. - Hel,Hel,Sprzęt Sportowy
6256,2024-08-15,5308,Gdynia Gł. - Rzeszów Główny,Rzeszów Główny,Książka
6257,2024-08-15,53190,Łeba - Kraków Gł.,Lębork,Sprzęt Elektroniczny
6258,2024-08-15,3512,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Saszetka / Nerka
6259,2024-08-15,4502,Gliwice - Gdynia Gł.,Gdynia Główna,Artykuły Dziecięce
6260,2024-08-15,4502,Gliwice - Gdynia Gł.,Sopot,Rzeczy Osobiste
6261,2024-08-15,57,Berlin Hbf - Przemyśl Gł.,Katowice,Ubranie
6262,2024-08-15,35171,Zakopane - Gdynia Gł.,Zakopane,Sprzęt Sportowy
6263,2024-08-15,35171,Zakopane - Gdynia Gł.,Zakopane,Reklamówka / Torba
6264,2024-08-15,,,Katowice,Sprzęt Elektroniczny
6265,2024-08-15,3806,Kraków Gł. - Kołobrzeg,Oborniki Wielkopolskie Miasto,Walizka / Plecak
6266,2024-08-15,85106,Szczecin Gł. - Olsztyn Gł.,Pasłęk,Ubranie
6267,2024-08-15,3508,Rzeszów Główny - Gdynia Gł.,Gdynia Główna,Ubranie
6268,2024-08-15,4520,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Rzeczy Osobiste
6269,2024-08-15,4520,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Ubranie
6270,2024-08-15,24100,Lublin Gł. - Katowice,Katowice,Rzeczy Osobiste
6271,2024-08-15,13100,Warszawa Wsch. - Przemyśl Gł.,Przeworsk,Walizka / Plecak
6272,2024-08-15,1540,Warszawa Zach. - Hel,Gdynia Główna,Ubranie
6273,2024-08-15,7322,Poznań-Kraków,Kraków Główny,Ubranie
6274,2024-08-15,4522,Racibórz - Olsztyn Gł.,Zawiercie,Dokument/Y
6275,2024-08-15,38171,Kraków Gł. - Kołobrzeg,Lębork,Dokument/Y
6276,2024-08-15,406,München Hbf - Warszawa Wsch.,Kraków Główny,Dokument/Y
6277,2024-08-14,1512,Warszawa Zach. - Gdynia Gł.,Gdynia Główna,Walizka / Plecak
6278,2024-08-14,57104,Gdynia Gł. - Zielona Góra Gł.,Zielona Góra Główna,Reklamówka / Torba
6279,2024-08-14,28104,Hrubieszów Miasto - Świnoujście,Poznań Główny,Telefon
6280,2024-08-12,5600,Gdynia Gł. - Jelenia Góra,Wrocław Główny,Etui
6281,2024-08-12,3602,Przemyśl Gł. - Wrocław Gł.,Wrocław Główny,Akcesoria Dla Zwierząt
6282,2024-08-12,3602,Przemyśl Gł. - Wrocław Gł.,Wrocław Główny,Dokument/Y
6283,2024-08-11,3600,Przemyśl Gł. - Wrocław Gł.,Wrocław Główny,Reklamówka / Torba
6284,2024-08-13,85100,Szczecin Gł. - Gdańsk Gł.,Sopot,Telefon
6285,2024-08-13,35105,Zakopane - Gdynia Gł.,Warszawa Wschodnia,Dokument/Y
6286,2024-08-13,1512,Warszawa Zach. - Gdynia Gł.,Gdynia Główna,Artykuły Spożywcze
6287,2024-08-13,33110,Zagórz-Kraków,Kraków Główny,Sprzęt Elektroniczny
6288,2024-08-13,26100,Lublin Gł. - Wrocław Gł.,Wrocław Główny,Sprzęt Elektroniczny
6289,2024-08-12,515 WAGON W REZERWIE,Brak,Kraków Główny,Telefon
6290,2024-08-13,1304,Warszawa-Kraków,Kraków Główny,Książka
6291,2024-08-13,57100,Olsztyn Gł. - Zielona Góra Gł.,Zielona Góra Główna,Rzeczy Osobiste
6292,2024-08-13,11100,Warszawa-Terespol,Terespol,Sprzęt Elektroniczny
6293,2024-08-13,1322,Warszawa Wsch. - Kraków Gł.,Kraków Główny,Ubranie
6294,2024-08-13,35171,Zakopane - Gdynia Gł.,Gdynia Główna,Ubranie
6295,2024-08-13,83172,Świnoujście - Przemyśl Gł.,Przemyśl Główny,Sprzęt Elektroniczny
6296,2024-08-12,brak danych,Brak Danych,Warszawa Olszynka Grochowska,Telefon
6297,2024-08-12,5354,Hel - Przemyśl Gł.,Przemyśl Główny,Sprzęt Turystyczny
6298,2024-08-12,1512,Warszawa Zach. - Gdynia Gł.,Gdynia Główna,Sprzęt Elektroniczny
6299,2024-08-12,3512,Kraków Gł. - Gdynia Gł.,Tczew,Reklamówka / Torba
6300,2024-08-12,84150,Ustka - Katowice,Leszno,Telefon
6301,2024-08-12,38106,Kraków Gł. - Piła Gł.,Poznań Główny,Reklamówka / Torba
6302,2024-08-11,8306,Kołobrzeg - Kraków Główny,Kraków Główny,Ubranie
6303,2024-08-12,11102,Warszawa Zach. - Terespol,Siedlce,Walizka / Plecak
6304,2024-08-12,45102,Katowice - Gdynia Gł.,Łódź Kaliska,Saszetka / Nerka
6305,2024-08-12,3554,Przemyśl Gł. - Hel,Katowice,Ubranie
6306,2024-08-12,6102,Jelenia Góra - Warszawa Wsch.,Warszawa Wschodnia,Ubranie
6307,2024-08-12,5302,Gdynia Gł. - Kraków Gł.,Kraków Główny,Ubranie
6308,2024-08-11,1650,Warszawa Wsch. - Szklarska Poręba Grn.,Szklarska Poręba,Ubranie
6309,2024-08-12,406,München Hbf - Warszawa Wsch.,Włoszczowa Północ,Obuwie
6310,2024-08-12,56124,Olsztyn Gł. - Wrocław Gł.,Wrocław Główny,Ubranie
6311,2024-08-12,1602,Warszawa Wsch. - Jelenia Góra,Jelenia Góra,Artykuły Spożywcze
6312,2024-08-11,21160,Lublin Gł. - Warszawa Centr.,Warszawa Centralna,Walizka / Plecak
6313,2024-08-11,5604,Gdynia Gł. - Wrocław Gł.,Wrocław Główny,Ubranie
6314,2024-08-11,3502,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Ubranie
6315,2024-08-11,57108,Gdynia Gł. - Zielona Góra Gł.,Zielona Góra Główna,Ubranie
6316,2024-08-11,5304,Gdynia - Kraków,Kraków Główny,Akcesoria Dla Zwierząt
6317,2024-08-11,53150,Bydgoszcz Gł. - Zakopane,Zakopane,Portfel
6318,2024-08-11,1308,Warszawa - Kraków,Kraków Główny,Ubranie
6319,2024-08-10,73100,Poznań - Kraków,Kraków Główny,Książka
6320,2024-08-11,57100,Olsztyn Gł. - Zielona Góra Gł.,Zielona Góra Główna,Ubranie
6321,2024-08-10,8340,Kołobrzeg - Kraków,Kraków Główny,Ubranie
6322,2024-08-11,16190,Warszawa Wsch. - Szklarska Por.G.,Szklarska Poręba Górna,Walizka / Plecak
6323,2024-08-10,82104,Świnoujście - Hrubieszów Miasto,Werbkowice,Reklamówka / Torba
6324,2024-08-10,3150,Zakopane - Warszawa Wsch.,Warszawa Wschodnia,Saszetka / Nerka
6325,2024-08-10,56150,Gdynia Gł. - Wrocław Gł.,Mogilno,Ubranie
6326,2024-08-10,3554,Przemyśl Gł. - Hel,Tczew,Rzeczy Osobiste
6327,2024-08-10,3522,Kraków    Olsztyn,Olsztyn Główny,Rzeczy Osobiste
6328,2024-08-10,3506,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Sprzęt Elektroniczny
6329,2024-08-09,8340,Kołobrzeg - Kraków Główny,Kraków Główny,Sprzęt Turystyczny
6330,2024-08-10,3508,Rzeszów Główny - Gdynia Gł.,Gdynia Główna,Parasol
6331,2024-08-10,6504,Wrocław Gł. - Gdynia Gł.,Gdynia Główna,Reklamówka / Torba
6332,2024-08-10,6504,Wrocław Gł. - Gdynia Gł.,Gdynia Główna,Walizka / Plecak
6333,2024-08-10,38192,Zakopane - Szczecin Gł.,Szczecin Główny,Ubranie
6334,2024-08-10,8320,Szczecin Gł. - Kraków Gł.,Środa Wielkopolska,Rzeczy Osobiste
6335,2024-08-10,83172,Świnoujście - Przemyśl Gł.,Poznań Główny,Rzeczy Osobiste
6336,2024-08-09,6304,Wrocław Gł. - Przemyśl Gł.,Bochnia,Portfel
6337,2024-08-09,16102,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Sprzęt Elektroniczny
6338,2024-08-09,71100,Zielona Góra Gł. - Warszawa Gdańska,Warszawa Gdańska,Sprzęt Sportowy
6339,2024-08-09,3840,Kraków Gł. - Kołobrzeg,Kołobrzeg,Walizka / Plecak
6340,2024-08-09,3522,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Ubranie
6341,2024-08-09,2700,Stalowa W. Rozw. - Żary,Wrocław Główny,Ubranie
6342,2024-08-08,43000,Praga-Przemyśl Gł.,Przemyśl Główny,Portfel
6343,2024-08-09,15150,Warszawa Zach. - Łeba,Wejherowo,Rzeczy Osobiste
6344,2024-08-09,5620,Ełk - Wrocław Gł.,Łódź Chojny,Sprzęt Elektroniczny
6345,2024-08-09,83100,Kołobrzeg - Rzeszów Główny,Szczecinek,Telefon
6346,2024-08-09,16108,Warszawa Gdańska - Wrocław Gł.,Brzeg,Pieniądze
6347,2024-08-08,1626,Warszawa Wsch. - Zgorzelec,Zgorzelec,Parasol
6348,2024-08-08,3554,Przemyśl Gł. - Hel,Gdynia Główna,Dokument/Y
6349,2024-08-08,3512,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Reklamówka / Torba
6350,2024-08-08,16100,Warszawa Wsch. - Szklarska Por.G.,Szklarska Poręba Górna,Saszetka / Nerka
6351,2024-08-08,2700,Stalowa W. Rozw. - Żary,Żary,Ubranie
6352,2024-08-08,35105,Zakopane - Gdynia Gł.,Opoczno Południe,Ubranie
6353,2024-08-08,111,Ostrava-Svinov - Warszawa Wsch.,Warszawa Wschodnia,Saszetka / Nerka
6354,2024-08-07,61190,Szklarska Por.G. - Warszawa Wsch.,Szklarska Poręba Górna,Książka
6355,2024-08-07,5304,Gdynia-Kraków,Kraków Główny,Ubranie
6356,2024-08-07,8300,Kołobrzeg-Kraków,Kraków Główny,Ubranie
6357,2024-08-07,53173,Gdynia-Kraków,Kraków Główny,Ubranie
6358,2024-08-04,,,Katowice,Portfel
6359,2024-08-04,5427,Gdynia-Katowice,Katowice,Parasol
6360,2024-08-06,3554,Przemyśl Gł-Hel,Władysławowo,Etui
6361,2024-08-05,5304,Gdynia - Kraków,Kraków Główny,Parasol
6362,2024-08-01,1302,Warszawa-Kraków,Kraków Główny,Rzeczy Osobiste
6363,2024-08-05,1304,Warszawa - Kraków,Kraków Główny,Parasol
6364,2024-08-05,8300,Kołobrzeg - Kraków,Kraków Główny,Sprzęt Elektroniczny
6365,2024-07-31,143,Mockava-Kraków,Kraków Główny,Książka
6366,2024-07-31,13108,Olsztyn-Kraków,Kraków Główny,Sprzęt Elektroniczny
6367,2024-08-05,1304,Warszawa - Kraków,Kraków Główny,Rzeczy Osobiste
6368,2024-07-31,1322,Warszawa-Kraków,Kraków Główny,Dokument/Y
6369,2024-07-31,5312,Gdynia-Kraków,Kraków Główny,Ubranie
6370,2024-08-05,5304,Gdynia - Kraków,Kraków Główny,Ubranie
6371,2024-07-31,5310,Gdynia-Kraków,Kraków Główny,Saszetka / Nerka
6372,2024-08-06,5602,,Wrocław Główny,Reklamówka / Torba
6373,2024-08-02,73105,Zielona Góra -Przemyś Gł,Przemyśl Bakończyce,Rzeczy Osobiste
6374,2024-08-07,37104,Przemyśl Gł. - Zielona Góra Gł.,Zielona Góra Główna,Sprzęt Agd
6375,2024-08-06,37104,Przemyśl Gł. - Zielona Góra Gł.,Zielona Góra Główna,Sprzęt Sportowy
6376,2024-08-06,57102,Olsztyn Gł. - Poznań Gł.,Toruń Główny,Sprzęt Elektroniczny
6377,2024-08-06,1626,Warszawa Wsch. - Zgorzelec,Ostrów Wielkopolski,Ubranie
6378,2024-08-06,5304,Gdynia Główna - Kraków Główny,Kraków Główny,Sprzęt Sportowy
6379,2024-08-06,83191,Kołobrzeg-Kraków Główny,Kraków Główny,Ubranie
6380,2024-08-06,47,Berlin Hbf - Warszawa Wsch.,Warszawa Wschodnia,Walizka / Plecak
6381,2024-08-06,1908,Warszawa Wsch. - Łódź Fabryczna,Skierniewice,Sprzęt Elektroniczny
6382,2024-08-06,47100,Katowice-Poznań,Poznań Główny,Sprzęt Elektroniczny
6383,2024-08-06,47100,Katowice-Poznań,Poznań Główny,Artykuły Dziecięce
6384,2024-08-06,3506,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Walizka / Plecak
6385,2024-08-06,27102,Lublin Gł. - Poznań Gł.,Poznań Główny,Ubranie
6386,2024-08-06,57100,Olsztyn Gł. - Zbąszynek,Nowy Tomyśl,Sprzęt Elektroniczny
6387,2024-08-06,8320,Szczecin Gł. - Kraków Gł.,Kraków Główny,Sprzęt Elektroniczny
6388,2024-08-06,75102,Poznań Gł. - Olsztyn Gł.,Olsztyn Główny,Rzeczy Osobiste
6389,2024-08-06,86102,Słupsk - Wrocław Gł.,Wrocław Główny,Sprzęt Sportowy
6390,2024-08-04,86102,Słupsk - Wrocław Gł.,Wrocław Główny,Sprzęt Turystyczny
6391,2024-08-06,30170,Kraków Gł. - Krynica-Zdrój,Krynica-Zdrój,Portfel
6392,2024-08-06,85108,Szczecin Gł. - Olsztyn Gł.,Gdynia Główna,Dokument/Y
6393,2024-08-06,1620,Warszawa Wsch. - Wrocław Gł.,Koluszki,Walizka / Plecak
6394,2024-08-06,16108,Warszawa Gdańska - Wrocław Gł.,Wrocław Główny,Ubranie
6395,2024-08-05,82102,Szczecin Gł. - Lublin Gł.,Lublin Główny,Ubranie
6396,2024-08-05,75108,Zbąszynek - Gdynia Gł.,Sopot,Sprzęt Elektroniczny
6397,2024-08-04,5310,Gdynia-Kraków,Kraków Główny,Rzeczy Osobiste
6398,2024-08-05,3506,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Walizka / Plecak
6399,2024-08-04,83106,Piła-Kraków,Kraków Główny,Ubranie
6400,2024-08-05,51150,Łeba - Warszawa Zach.,Lębork,Walizka / Plecak
6401,2024-08-05,52150,Hel - Lublin Gł.,Gdynia Główna,Reklamówka / Torba
6402,2024-08-05,37100,Kraków Gł. - Poznań Gł.,Poznań Główny,Walizka / Plecak
6403,2024-08-03,86102,Słupsk - Wrocław Gł.,Wrocław Główny,Parasol
6404,2024-08-05,35172,Kraków Gł. - Hel,Hel,Sprzęt Turystyczny
6405,2024-08-03,Brak danych,Brak Danych,Rawicz,Etui
6406,2024-08-01,26100,,Wrocław Główny,Sprzęt Sportowy
6407,2024-08-01,5604,,Wrocław Główny,Artykuły Biurowe
6408,2024-07-31,56102,,Wrocław Główny,Reklamówka / Torba
6409,2024-08-01,5620,,Wrocław Główny,Ubranie
6410,2024-07-29,1624,,Wrocław Główny,Ubranie
6411,2024-07-30,5602,,Wrocław Główny,Parasol
6412,2024-08-01,5602,,Wrocław Główny,Sprzęt Elektroniczny
6413,2024-08-01,3602,,Wrocław Główny,Artykuły Biurowe
6414,2024-08-05,6102,Jelenia Góra - Warszawa Wsch.,Jelenia Góra,Ubranie
6415,2024-08-05,56124,Olsztyn Gł. - Wrocław Gł.,Wrocław Główny,Ubranie
6416,2024-08-04,35150,Zakopane - Bydgoszcz Gł.,Bydgoszcz Główna,Sprzęt Turystyczny
6417,2024-08-05,143,Vilnius(Lt) - Kraków Gł.,Kraków Główny,Ubranie
6418,2024-08-04,26102,Lublin Gł. - Wrocław Gł.,Wrocław Główny,Sprzęt Elektroniczny
6419,2024-08-04,8306,Kołobrzeg - Kraków Gł.,Kraków Główny,Walizka / Plecak
6420,2024-08-04,3562,Przemyśl Gł. - Gdynia Gł.,Poznań Główny,Walizka / Plecak
6421,2024-08-04,3150,Zakopane - Warszawa Wsch.,Warszawa Wschodnia,Rzeczy Osobiste
6422,2024-08-03,5320,Olsztyn Główny - Kraków Główny,Kraków Główny,Dokument/Y
6423,2024-08-04,3560,Zakopane - Gdynia Gł.,Gdynia Główna,Saszetka / Nerka
6424,2024-08-04,57100,Olsztyn Gł. - Zielona Góra Gł.,Zielona Góra Główna,Reklamówka / Torba
6425,2024-08-04,3506,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Artykuły Dziecięce
6426,2024-08-04,5600,Gdynia Gł. - Jelenia Góra,Świebodzice,Sprzęt Elektroniczny
6427,2024-08-04,75102,Poznań Gł. - Olsztyn Gł.,Jabłonowo Pomorskie,Sprzęt Elektroniczny
6428,2024-08-03,86154,Kołobrzeg - Wrocław Gł.,Wrocław Główny,Artykuły Dziecięce
6429,2024-08-03,85102,Szczecin Gł. - Olsztyn Gł.,Gdańsk Główny,Walizka / Plecak
6430,2024-08-03,17102,Warszawa Wsch. - Zielona Góra Gł.,Zielona Góra Główna,Ubranie
6431,2024-08-03,3512,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Walizka / Plecak
6432,2024-08-03,1512,Warszawa Zach. - Gdynia Gł.,Gdańsk Wrzeszcz,Sprzęt Elektroniczny
6433,2024-08-03,5422,Olsztyn Gł. - Racibórz,Żyrardów,Telefon
6434,2024-08-03,18114,Łódź Fabryczna - Kołobrzeg,Koszalin,Telefon
6435,2024-08-03,38100,Rzeszów Kołobrzeg,Włocławek,Sprzęt Elektroniczny
6436,2024-08-03,4506,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Ubranie
6437,2024-08-03,36100,Kraków Gł. - Wrocław Gł.,Wrocław Główny,Parasol
6438,2024-08-03,5328,Olsztyn Gł-Kraków Gł,Kraków Główny,Etui
6439,2024-08-02,4500,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Saszetka / Nerka
6440,2024-08-02,37104,Przemyśl Gł. - Zielona Góra Gł.,Zielona Góra Główna,Ubranie
